Rank,Player,Position,2010 Team,2011 Team,Reference,Year,2012 Team,Rank Change,2013 Team,2014 Team,2015 Team,2015 team,2016 team,Rank change,2017 team,Year accomplishments,2018 team,2019 team,2020 team
40,Tyreek Hill,Wide receiver,,,40,2017.0,,,,,,,,4,Kansas City Chiefs,"- 2nd Pro Bowl selection
   - 1 of 4 players with 1100 receiving yards and 7+ TD's (Antonio Brown, DeAndre 
   Hopkins, Marvin Jones.)",,,
41,Keenan Allen,Wide receiver,,,41,2017.0,,,,,,,,NR,Los Angeles Chargers,"- 1st Pro Bowl selection
   - 2017 NFL Comeback Player of the Year
   - 1st player to ever record 10+ Receptions, 100+ Receiving yards, 1+ 
   Receiving TD in 3 consecutive games
   - 1st in NFL in 3rd down receptions in 2016 (26)",,,
42,Earl Thomas,Free safety,,,42,2017.0,,,,,,,,12,Seattle Seahawks,"- 6th Pro Bowl selection
   - 2nd 2nd-team All-Pro selection
   - Only player with 25+ interceptions and 10+ forced fumbles since 
   entering the NFL in 2010",,,
43,Mark Ingram II,Running back,,,43,2017.0,,,,,,,,NR,New Orleans Saints,"- 2nd Pro Bowl selection
   - 230 Carries, 1124 Rushing yards, 12 Rushing Touchdowns, 58 Receptions, 
   416 Receiving yards",,,
44,David DeCastro,Guard,,,44,2017.0,,,,,,,,53,Pittsburgh Steelers,"- 3rd Pro Bowl selection
   - 2nd 1st-team All-Pro selection
   - Allowed career-low 0.5 sacks",,,
45,Davante Adams,Wide receiver,,,45,2017.0,,,,,,,,NR ( 56),Green Bay Packers,"- 1st Pro Bowl selection
   - 10 Receiving touchdowns in 2017
   - Lead NFL in receiving touchdowns since 2016 (22)
   - No. 101 in the 2017 chart[3]",,,
46,Harrison Smith,Free safety,,,46,2017.0,,,,,,,,28,Minnesota Vikings,"- 3rd Pro Bowl selection
   - 1st-team All-Pro
   - 78 tackles, 7 Tackles-for-losses, 5 interceptions, 12 passes defensed",,,
47,Ryan Shazier,Linebacker,,,47,2017.0,,,,,,,,NR,Pittsburgh Steelers,"- 2nd Pro Bowl selection
   - 89 tackles, 3 Tackles-for-losses, 3 interceptions, 11 passes defensed",,,
48,Cameron Heyward,Defensive end,,,48,2017.0,,,,,,,,NR,Pittsburgh Steelers,"- 1st Pro Bowl selection (Listed as Interior Linebacker)
   - 1st First-Team All-Pro
   - 1 of 5 players with 10+ sacks, 15+ Tackles-for-losses and 3 passes 
   defensed",,,
49,Darius Slay,Cornerback,,,49,2017.0,,,,,,,,NR,Detroit Lions,"- 1st Pro Bowl selection
   - 1st First-team All-Pro
   - Interceptions co-leader
   - Tied 1st in interception (8 with Kevin Byard), 1st in passes defensed 
   (26)",,,
50,Deshaun Watson,Quarterback,,,50,2017.0,,,,,,,,NR,Houston Texans,"- 12th overall pick in the 2017 NFL Draft
   - Broke Kurt Warners' record of 19 TD's in the first 7 starts since the 
   merger",,,
51,Case Keenum,Quarterback,,,51,2017.0,,,,,,,,NR,Minnesota Vikings,"- 1st in Passer rating from weeks 10-17 (107.2)
   - 1 of 6 QB's with 20+ passing TD's and under 10 interceptions",Denver Broncos,,
52,Jarvis Landry,Wide receiver,,,52,2017.0,,,,,,,,10,Miami Dolphins,"- 3rd Pro Bowl selection
   - Receptions leader
   - 400 receptions in 4 seasons (NFL record)
   - Only player with 5+ receptions in all 16 games in 2017",Cleveland Browns,,
53,Aqib Talib,Cornerback,,,53,2017.0,,,,,,,,16,Denver Broncos,"- 5th Pro Bowl selection
   - 4th All-time with 10 Interception touchdowns (Rod Woodson with 12)
   - 2nd with 34 interceptions since 2008",Los Angeles Rams,,
54,Ezekiel Elliott,Running back,,,54,2017.0,,,,,,,,47,Dallas Cowboys,"- Highest rookie debut in the history of the Top 100 chart in 2017.
   - 1 of 3 players to average 20+ carries/game. (Leonard Fournette, Le'Veon 
   Bell)
   - 1st with 98.3 yards per game in 2017
   - 1st in NFL in rushing yards and rushing TD's since 2016 (2,614, 22)",,,
55,Xavier Rhodes,Cornerback,,,55,2017.0,,,,,,,,11,Minnesota Vikings,"- 2nd Pro Bowl selection
   - 1st First-team All-Pro
   - 5th consecutive season with 10+ passes defensed",,,
56,Philip Rivers,Quarterback,,,56,2017.0,,,,,,,,17,Los Angeles Chargers,"- 7th Pro Bowl selection
   - 1 of 9 QB's in history to have 50,000+ career passing yards[4]
   - Longest active starts streak in NFL (192 started)
   - 9 of the past 10 seasons with 4000+ yards
   - 2nd with 4,515 passing yards (Tom Brady with 4,577 yards)",,,
57,Trent Williams,Offensive tackle,,,57,2017.0,,,,,,,,10,Washington Redskins,"- 6th Pro Bowl selection
   - No sacks allowed in 363 pass-blocking snaps in only 10 games played 
   and started in 2017",,,
58,Leonard Fournette,Running back,,,58,2017.0,,,,,,,,NR,Jacksonville Jaguars,"- Fastest and 2nd fastest recorded speed by RB on 2 carries (22 mph+ vs. 
   Steelers, 21.76 mph vs. Rams)
   - 1 of 3 players to average 20+ carries/game. (Ezekiel Elliott, Le'Veon 
   Bell)
   - Tied 2nd with 6 games with 100+ yards including playoffs (Todd Gurley 
   with 7)",,,
59,Casey Hayward,Cornerback,,,59,2017.0,,,,,,,,5,Los Angeles Chargers,"- 2nd Pro Bowl selection
   - 2nd-Team AP All-Pro
   - Tied 2nd with 22 Passes defensed (Darius Slay, 26)
   - Lowest completion percentage allowed in 2017 (42%)
   - Tied 1st in interceptions since 2016 with 11 interceptions (Marcus 
   Peters)
   - 1st in passes defensed with 42 since 2016",,,
60,Derek Carr,Quarterback,,,60,2017.0,,,,,,,,49,Oakland Raiders,"- 3rd Pro Bowl selection
   - Franchise record 103 Passing TD's in 4 seasons",,,
61,Ndamukong Suh,Defensive tackle,,,61,2017.0,,,,,,,,6,Miami Dolphins,- Most QB hits amongst DT's since entering the league in 2010 (147),Los Angeles Rams,,
62,Micah Hyde,Safety,,,62,2017.0,,,,,,,,NR,Buffalo Bills,"- 1st Pro Bowl selection
   - 1st Second-team All-Pro selection
   - Career high in tackles, interceptions and passes defensed (82, 5, 13)
   - 1 of 5 current players with 3 straight seasons of 3+ int
   - Made playoffs in every season in the NFL (4 with Green Bay Packers, 1 
   with the Bills)",,,
63,Geno Atkins,Defensive tackle,,,63,2017.0,,,,,,,,5,Cincinnati Bengals,"- 6th Pro Bowl selection
   - 1 of 2 DT's with 20+ QB hits and 9+ sacks (Aaron Donald)
   - Most sacks amongst DT's since entering the league in 2010 (61.0).",,,
64,Richard Sherman,Cornerback,,,64,2017.0,,,,,,,,43,Seattle Seahawks,"- Most interceptions and passes defensed since entering the league in 
   2011.
   - Lowest completion percentage allowed since 2011 with >300 targets 
   (47.4%)",San Francisco 49ers,,
65,Stefon Diggs,Wide receiver,,,65,2017.0,,,,,,,,NR,Minnesota Vikings,"- 115.0 Passer rating when targeted by Case Keenum
   - Reached 200 receptions in 40 games played in career",,,
66,Jurrell Casey,Defensive tackle,,,66,2017.0,,,,,,,,20,Tennessee Titans,"- 3rd Pro Bowl selection
   - Career-high 19 QB hits
   - 5 seasons with 5+ sacks",,,
67,Telvin Smith,Linebacker,,,67,2017.0,,,,,,,,NR,Jacksonville Jaguars,"- 1st Pro Bowl selection
   - 1st Second-team All-Pro selection
   - Most tackles in the first 4 seasons as a Jaguar (447)
   - 1 of 3 players with 100+ tackles and 3 interceptions",,,
68,Zach Ertz,Tight end,,,68,2017.0,,,,,,,,NR,Philadelphia Eagles,"- 1st Pro Bowl selection
   - Super Bowl champion (1st time)
   - Tied franchise record with 8 receiving TD's in a season (Brent Celek, 
   2009) in Super-Bowl era.
   - 3 straight seasons with 70+ receptions and 800+ receiving yards",,,
69,Fletcher Cox,Defensive tackle,,,69,2017.0,,,,,,,,31,Philadelphia Eagles,"- 3rd Pro Bowl selection
   - 3rd Second-team All-Pro selection
   - Super Bowl champion (1st time)
   - 2nd best QB pressure percentage amongst DT's on pass rush snaps",,,
70,Devonta Freeman,Running back,,,70,2017.0,,,,,,,,29,Atlanta Falcons,"- 1 of 2 players with 3,000+ rushing yards and 30+ rushing TD's in the 
   last 3 seasons. (Le'Veon Bell)",,,
71,Zack Martin,Guard,,,71,2017.0,,,,,,,,13,Dallas Cowboys,"- 4th Pro Bowl selection
   - 2nd Second-team All-Pro selection
   - Started all 64 regular season games and 3 post-season games in 4 
   seasons
   - Allowed least QB pressures by a guard (11)
   - Allowed <2 sacks in each of his 4 seasons
   - Became highest paid guard in NFL in June, 2018.",,,
72,Delanie Walker,Tight end,,,72,2017.0,,,,,,,,3,Tennessee Titans,"- 3rd Pro Bowl selection
   - Pro Bowl Offensive MVP
   - 3rd amongst TE's with 3585 yards since 2014 (Rob Gronkowski, Travis 
   Kelce), most receptions in a 4 year span",,,
73,Thomas Davis,Linebacker,,,73,2017.0,,,,,,,,16,Carolina Panthers,"- 3rd Pro Bowl selection
   - 1 of 3 players with 600+ tackles and 10+ interceptions since 2012 (Luke 
   Kuechly, Lavonte David)",,,
74,Cameron Wake,Defensive end,,,74,2017.0,,,,,,,,12,Miami Dolphins,"- 9 straight seasons with 5+ sacks, on Julius Peppers went 10 straight.
   - Led team in sacks (10.5), QB hits (27) and tackles for losses (12)",,,
75,Kam Chancellor,Safety,,,75,2017.0,,,,,,,,41,Seattle Seahawks,"- 556 tackles since becoming a starter in 2011 (6th amongst safeties)
   - First retired player to ever feature on the Top 100 list (announced 
   retirement after the complete list was revealed).",,,
76,Melvin Ingram,Defensive end,,,76,2017.0,,,,,,,,NR,Los Angeles Chargers,"- 1st Pro Bowl selection
   - 1 of 4 players with 10+ sacks and 17+ tackles for losses in 2017 (Chandler 
   Jones, Von Miller, Cameron Jordan)",,,
77,Odell Beckham Jr.,Wide receiver,,,77,2017.0,,,,,,,,69,New York Giants,"- 1 of 8 players in NFL history to record 300+ receptions, 4,000+ yards 
   and 30+ TD's in the first 4 seasons
   - 2nd in NFL with 38 receiving TD's since 2014 (Antonio Brown)
   - 3rd in NFL with 94.1 yards per game since 2014 (Brown, Julio Jones)",,,
78,Taylor Lewan,Offensive tackle,,,78,2017.0,,,,,,,,6,Tennessee Titans,"- 2nd Pro Bowl selection
   - 32 starts, 5 sacks conceded in 2-season span",,,
79,Marcus Peters,Cornerback,,,79,2017.0,,,,,,,,47,Kansas City Chiefs,"- Tied 3rd in interceptions (5)
   - Only player with 5+ in each of the last 3 seasons
   - 60.5 Passer rating allowed since 2015, 2nd to A. J. Bouye with 200+ 
   targets",Los Angeles Rams,,
80,Kevin Byard,Safety,,,80,2017.0,,,,,,,,NR,Tennessee Titans,"- 1st Pro Bowl selection
   - 1st All-Pro selection
   - Co-leader in interceptions (8 with Darius Slay)
   - 1st player to record 80+ tackles and 8+ interceptions since Champ 
   Bailey in 2006",,,
81,Michael Thomas,Wide receiver,,,81,2017.0,,,,,,,,NR,New Orleans Saints,"- 1st Pro Bowl selection
   - One of 3 WR's with 100+ receptions and 1,200+ yards (Antonio Brown, Keenan 
   Allen)
   - Most receptions in first 2 seasons",,,
82,Marshon Lattimore,Cornerback,,,82,2017.0,,,,,,,,NR,New Orleans Saints,"- 11th overall pick in the 2017 NFL Draft
   - 1st Saint to win AP DROY
   - Leads all rookies with 5 interceptions and 18 passes defensed
   - 3rd lowest Passer rating allowed amongsts CB's (45.3)",,,
83,Linval Joseph,Defensive tackle,,,83,2017.0,,,,,,,,NR ( 21),Minnesota Vikings,"- 2nd Pro Bowl selection
   - 2nd amongst DT's with 68 tackles (76 by Damon Harrison)
   - No. 104 in the 2017 chart[3]",,,
84,J. J. Watt,Defensive end,,,84,2017.0,,,,,,,,49,Houston Texans,- 2017 Walter Payton NFL Man of the Year Award,,,
85,Bruce Irvin,Defensive end,,,85,2017.0,,,,,,,,NR,Oakland Raiders,- Most Forced Fumbles in a two-season span (10),,,
86,Chris Harris Jr.,Cornerback,,,86,2017.0,,,,,,,,23,Denver Broncos,"- Tied fewest missed tackles amongst CB's with 40+ tackles (2)
   - 68.0 Passer rating when targeted since 2014",,,
87,Andrew Whitworth,Offensive Tackle,,,87,2017.0,,,,,,,,NR,Los Angeles Rams,"- 4th Pro Bowl selection
   - 1st-Team AP All-Pro
   - Oldest tackle to start 10+ games in 2017 (36)",,,
88,Yannick Ngakoue,Defensive end,,,88,2017.0,,,,,,,,NR,Jacksonville Jaguars,"- 1st Pro Bowl selection
   - 1 of 2 players with 10+ sacks and 5+ forced fumbles (Aaron Donald)
   - Only player with 20+ sacks and 10+ forced fumbles since 2016",,,
89,Jimmy Graham,Tight end,,,89,2017.0,,,,,,,,NR,Seattle Seahawks,"- 5th Pro Bowl selection
   - Tied second with Davante Adams with 10 receiving TD's (DeAndre Hopkins 
   with 13)
   - 4th most receiving TD's in history amongst TE's (69)",Green Bay Packers,,
90,Jimmy Garoppolo,Quarterback,,,90,2017.0,,,,,,,,NR,New England Patriots/San Francisco 49ers,"- Fourth most wins by a quarterback to start his NFL career (7, tied 
   with Daunte Culpepper, Dieter Brock, and Daryle Lamonica)[5][6]",San Francisco 49ers,,
91,David Bakhtiari,Offensive tackle,,,91,2017.0,,,,,,,,NR,Green Bay Packers,- 2nd-Team AP All-Pro,,,
92,Landon Collins,Safety,,,92,2017.0,,,,,,,,64,New York Giants,"- 2nd Pro Bowl selection
   - Since 2015, leads all safeties in tackles (332) and 2nd in passes 
   defensed (28)
   - 3-time team leader (99)",,,
93,Mike Daniels,Defensive end,,,93,2017.0,,,,,,,,9,Green Bay Packers,"- 1st Pro Bowl selection
   - 1 of 4 DT's to record 4+ sacks for 5 straight seasons (Ndamoukong Suh, 
   Gerald McCoy, Jurrell Casey)",,,
94,Kirk Cousins,Quarterback,,,94,2017.0,,,,,,,,24,Washington Redskins,"- 1st QB in NFL history to change teams after 3 consecutive seasons with 
   4,000+ passing yards",Minnesota Vikings,,
95,Lane Johnson,Offensive tackle,,,95,2017.0,,,,,,,,NR,Philadelphia Eagles,"- 1st-Team AP All-Pro
   - 1st Pro Bowl selection
   - Super Bowl champion (1st time)",,,
96,Malcolm Jenkins,Safety,,,96,2017.0,,,,,,,,6,Philadelphia Eagles,"- 2nd Pro Bowl selection
   - Super Bowl champion (2nd time)
   - 1 of 2 safeties with 5+ tackles for losses, and 8+ passes defensed (Harrison 
   Smith)",,,
97,Carlos Hyde,Running back,,,97,2017.0,,,,,,,,NR,San Francisco 49ers,"- One of 3 RB's to lead team in carries and receptions (Todd Gurley, LeSean 
   McCoy)
   - 3-time team leader in rushing yards (2015–17)",Cleveland Browns,,
98,C. J. Mosley,Linebacker,,,98,2017.0,,,,,,,,NR,Baltimore Ravens,"- 3rd Pro Bowl selection
   - 3rd 2nd-Team AP All-Pro",,,
99,Doug Baldwin,Wide receiver,,,99,2017.0,,,,,,,,11,Seattle Seahawks,"- 2nd Pro Bowl selection
   - Tied fewest in drops with 100+ targets (2 drops of 116 targets)",,,
100,Ha Ha Clinton-Dix,Safety,,,100,2017.0,,,,,,,,23,Green Bay Packers,"- 1 of 2 safeties with 70+tackles, 3+ interceptions and <5 missed tackles
   - 1 of 7 safeties with multiple interceptions in 3 straight seasons.",,,
1,Aaron Donald,Defensive tackle,,,[1],2018.0,,,,,,,,6,,"- 5th Pro Bowl selection
   - 4th First-team All-Pro selection
   - 2nd time as NFL Defensive Player of the Year
   - NFL sacks leader (20.5)
   - Broke the record for most sacks in a season by a defensive tackle",Los Angeles Rams,,
2,Drew Brees,Quarterback,,,[2],2018.0,,,,,,,,6,,"- 12th Pro Bowl selection
   - 4th Second-team All-Pro selection
   - 2nd time as NFL passer rating leader (115.7)
   - 5th time as NFL completion percentage leader (74.4%) which is also an 
   NFL record
   - Broke Peyton Manning's all-time passing yardage
   - Art Rooney Award",New Orleans Saints,,
3,Khalil Mack,Linebacker,,,[3],2018.0,,,,,,,,13,,"- 4th Pro Bowl selection
   - 3rd First-team All-Pro selection
   - 2nd Butkus Award (Pro)
   - Became the first player since 1982 to record a sack, forced fumble, a 
   fumble recovery, interception, and touchdown in one half",Chicago Bears,,
4,Patrick Mahomes,Quarterback,,,[4],2018.0,,,,,,,,NR,,"- 1st Pro Bowl selection
   - 2019 Pro Bowl Offensive MVP
   - 1st First-team All-Pro selection
   - AP MVP
   - NFL Offensive Player of the Year
   - NFL passing touchdowns leader (50)
   - Bert Bell Award
   - Most consecutive 300-plus passing yard games (tied at 8)
   - Youngest quarterback to throw for 50 touchdowns in a season
   - Youngest quarterback to throw for 5,000 yards in a season (tied)
   - Second quarterback in NFL history to throw for 5,000+ yards and 50+ 
   touchdowns",Kansas City Chiefs,,
5,Todd Gurley,Running back,,,[5],2018.0,,,,,,,,1,,"- 3rd Pro Bowl selection
   - 2nd First-team All-Pro selection
   - 2nd time as NFL rushing touchdowns leader (17)",Los Angeles Rams,,
6,Tom Brady,Quarterback,,,[6],2018.0,,,,,,,,5,,"- 14th Pro Bowl selection
   - Won His NFL Record Sixth Super Bowl",New England Patriots,,
7,Antonio Brown,Wide receiver,,,[7],2018.0,,,,,,,,5,,"- 7th Pro Bowl selection
   - NFL receiving touchdowns leader (15)",Pittsburgh Steelers,Oakland Raiders / New England Patriots,
8,Aaron Rodgers,Quarterback,,,[8],2018.0,,,,,,,,2,,"- 7th Pro Bowl selection
   - Broke Tom Brady's NFL record by converting his 359th consecutive pass 
   without an interception
   - Set an NFL record for interception percentage for a season, with only 
   0.335 % of his passes being intercepted",Green Bay Packers,,
9,Julio Jones,Wide receiver,,,[9],2018.0,,,,,,,,5,,"- 6th Pro Bowl selection
   - 2nd Second-team All-Pro selection
   - Fastest player in NFL history to reach 10,000 career receiving yards 
   (104 games)
   - Only player during the 2018 season to average more than 100 receiving 
   yards per game
   - 2nd time as NFL receiving yards leader (1,677)",Atlanta Falcons,,
10,Von Miller,Linebacker,,,[10],2018.0,,,,,,,,1,,"- 7th Pro Bowl selection
   - 4th Second-team All-Pro selection",Denver Broncos,,
11,DeAndre Hopkins,Wide receiver,,,[11],2018.0,,,,,,,,2,,"- 3rd Pro Bowl selection
   - 2nd First-team All-Pro selection",Houston Texans,,
12,J. J. Watt,Defensive end,,,[12],2018.0,,,,,,,,72,,"- 5th Pro Bowl selection
   - 5th First-team All-Pro selection",Houston Texans,,
13,Michael Thomas,Wide Receiver,,,[13],2018.0,,,,,,,,68,,"- 2nd Pro Bowl selection
   - 1st First-team All-Pro selection
   - NFL receptions leader (125)
   - NFL record for most receptions by a player through his first three 
   seasons (321)",New Orleans Saints,,
14,Alvin Kamara,Running back,,,[14],2018.0,,,,,,,,6,,"- 2nd Pro Bowl selection
   - Tied the franchise record for most touchdowns in a single season (14)
   - Became the first player in NFL history to have 1,000 rushing yards and 
   1,000 receiving yards in his first 20 games",New Orleans Saints,,
15,Bobby Wagner,Linebacker,,,[15],2018.0,,,,,,,,6,,"- 5th Pro Bowl selection
   - 4th First-team All-Pro selection",Seattle Seahawks,,
16,Saquon Barkley,Running back,,,[16],2018.0,,,,,,,,NR,,"- 1st Pro Bowl selection
   - Pepsi NFL Rookie of the Year (2018)
   - NFL Offensive Rookie of the Year (2018)
   - PFWA All-Rookie Team (2018)
   - Tied the NFL single game record for catches by a rookie
   - NFL record for most 100+ yards from scrimmage games by a rookie (12 
   games)
   - NFL record for most scrimmage yards by a rookie (2,028;Led NFL in 
   scrimmage yards)
   - Tied with Randy Moss for most 50+ yard touchdowns by a rookie (5)
   - NFL record for most receptions by a rookie running back (91 receptions)",New York Giants,,
17,Philip Rivers,Quarterback,,,[17],2018.0,,,,,,,,39,,"- 8th Pro Bowl selection
   - Tied Ryan Tannehill for most straight completions, with 25
   - Set an NFL-record for one incompletion in 29 attempts, for a record 
   96.55%",Los Angeles Chargers,,
18,Ezekiel Elliott,Running back,,,[18],2018.0,,,,,,,,36,,"- 2nd Pro Bowl selection
   - 1st Second-team All-Pro selection
   - NFL rushing yards leader (2nd time, 1434 yards)",Dallas Cowboys,,
19,Tyreek Hill,Wide receiver,,,[19],2018.0,,,,,,,,21,,"- 3rd Pro Bowl selection
   - 2nd First-team All-Pro selection (Flex receiver)",Kansas City Chiefs,,
20,Andrew Luck,Quarterback,,,[20],2018.0,,,,,,,,NR,,"- 4th Pro Bowl selection
   - NFL Comeback Player of the Year (2018)",Indianapolis Colts*,,
21,Travis Kelce,Tight end,,,[21],2018.0,,,,,,,,3,,"- 4th Pro Bowl selection
   - 2nd First-team All-Pro selection
   - Broke the NFL record for most receiving yards by a tight end in a 
   single season, but George Kittle passed him to claim the record less 
   than an hour later.",Kansas City Chiefs,,
22,Stephon Gilmore,Cornerback,,,[22],2018.0,,,,,,,,NR,,"- 2nd Pro Bowl selection
   - 1st First-team All-Pro selection
   - Super Bowl champion (1st time)",New England Patriots,,
23,Odell Beckham Jr.,Wide receiver,,,[23],2018.0,,,,,,,,54,,"- Fastest to reach 5,000 career receiving yards (54 games)",New York Giants,Cleveland Browns,
24,Luke Kuechly,Linebacker,,,[24],2018.0,,,,,,,,12,,"- 6th Pro Bowl selection
   - 5th First-team All-Pro selection",Carolina Panthers,,
25,Russell Wilson,Quarterback,,,[25],2018.0,,,,,,,,14,,"- 5th Pro Bowl selection
   - Steve Largent Award (2nd time)",Seattle Seahawks,,
26,Shaquille Leonard,Linebacker,,,[26],2018.0,,,,,,,,NR,,"- 1st First-team All-Pro selection
   - NFL Defensive Rookie of the Year (2018)
   - NFL tackles Leader (2018)
   - PFWA All-Rookie Team (2018)",Indianapolis Colts,,
27,Jalen Ramsey,Cornerback,,,[27],2018.0,,,,,,,,10,,- 2nd Pro Bowl selection,Jacksonville Jaguars,,
28,Fletcher Cox,Defensive tackle,,,[28],2018.0,,,,,,,,41,,"- 4th Pro Bowl selection
   - 1st First-team All-Pro selection",Philadelphia Eagles,,
29,George Kittle,Tight end,,,[29],2018.0,,,,,,,,NR,,"- 1st Pro Bowl selection
   - 1st Second-team All-Pro selection
   - Broke Travis Kelce's single-season record for receiving yards by a 
   tight end, with 1,377
   - First ever tight end to lead the league in Yards After Catch (870)",San Francisco 49ers,,
30,Eddie Jackson,Safety,,,[30],2018.0,,,,,,,,NR,,"- 1st Pro Bowl selection
   - 1st First-team All-Pro selection",Chicago Bears,,
31,Derwin James,Safety,,,[31],2018.0,,,,,,,,NR,,"- 1st Pro Bowl selection
   - 1st First-team All-Pro selection
   - PFWA All-Rookie Team (2018)",Los Angeles Chargers,,
32,Jared Goff,Quarterback,,,[32],2018.0,,,,,,,,6,,"- 2nd Pro Bowl selection
   - NFL record for most passing yards and attempts while maintaining a 
   perfect passer rating (26 of 33 for 465 yards)",Los Angeles Rams,,
33,Adam Thielen,Wide receiver,,,[33],2018.0,,,,,,,,3,,"- 2nd Pro Bowl selection
   - NFL record for most consecutive 100 yard games to start a season in 
   NFL history (8)
   - Tied with Calvin Johnson for the NFL record of most consecutive 100 
   yard games in a season",Minnesota Vikings,,
34,Melvin Gordon,Running back,,,[34],2018.0,,,,,,,,NR,,- 2nd Pro Bowl selection,Los Angeles Chargers,,
35,Davante Adams,Wide receiver,,,[35],2018.0,,,,,,,,10,,- 2nd Pro Bowl selection,Green Bay Packers,,
36,Chris Jones,Defensive tackle,,,[36],2018.0,,,,,,,,NR,,"- 1st Second-team All-Pro selection
   - NFL record for most consecutive games with a sack (11)[1]",Kansas City Chiefs,,
37,Jamal Adams,Safety,,,[37],2018.0,,,,,,,,NR,,"- 1st Pro Bowl selection
   - 2019 Pro Bowl Defensive MVP
   - 1st Second-team All-Pro selection",New York Jets,,
38,Keenan Allen,Wide receiver,,,[38],2018.0,,,,,,,,3,,- 2nd Pro Bowl selection,Los Angeles Chargers,,
39,Akiem Hicks,Defensive end,,,[39],2018.0,,,,,,,,NR,,"- 1st Pro Bowl selection
   - Brian Piccolo Award",Chicago Bears,,
40,Zach Ertz,Tight end,,,[40],2018.0,,,,,,,,28,,"- 2nd Pro Bowl selection
   - NFL record for most receptions by a tight end in a season (116)",Philadelphia Eagles,,
41,Cameron Jordan,Defensive end,,,[41],2018.0,,,,,,,,15,,"- 4th Pro Bowl selection
   - 1st Second-team All-Pro selection",New Orleans Saints,,
42,Christian McCaffrey,Running back,,,[42],2018.0,,,,,,,,NR,,"- 1st Second-team All-Pro selection (Flex)
   - 3rd player in NFL history to achieve 50 rushing yards, 50 receiving 
   yards, and 50 passing yards in a single game
   - NFL record for most receptions by a running back in a single season 
   (107)",Carolina Panthers,,
43,David Bakhtiari,Offensive Tackle,,,[43],2018.0,,,,,,,,48,,- 1st First-team All-Pro selection,Green Bay Packers,,
44,Ben Roethlisberger,Quarterback,,,[44],2018.0,,,,,,,,26,,- NFL passing yards leader,Pittsburgh Steelers,,
45,DeMarcus Lawrence,Defensive end,,,[45],2018.0,,,,,,,,11,,- 2nd Pro Bowl selection,Dallas Cowboys,,
46,Patrick Peterson,Cornerback,,,[46],2018.0,,,,,,,,23,,"- 8th Pro Bowl selection
   - 4th First-team All-Pro selection",Arizona Cardinals,,
47,JuJu Smith-Schuster,Wide receiver,,,[47],2018.0,,,,,,,,NR,,"- 1st Pro Bowl selection
   - 1st player ever to have two offensive touchdowns of at least 97 yards",Pittsburgh Steelers,,
48,Melvin Ingram,Defensive end,,,[48],2018.0,,,,,,,,28,,- 2nd Pro Bowl selection,Los Angeles Chargers,,
49,Myles Garrett,Defensive end,,,[49],2018.0,,,,,,,,NR,,"- 1st Pro Bowl selection
   - 1st Second-team All-Pro selection",Cleveland Browns,,
50,Baker Mayfield,Quarterback,,,[50],2018.0,,,,,,,,NR,,"- PFWA All-Rookie Team (2018)
   - 2nd player in NFL history to not start a game, throw for more than 200 
   yards, and win the game
   - Surpassed Peyton Manning and Russell Wilson for most touchdowns thrown 
   by a rookie (27)",Cleveland Browns,,
51,Deshaun Watson,Quarterback,,,[51],2018.0,,,,,,,,1,,- 1st Pro Bowl selection,Houston Texans,,
52,Tyron Smith,Offensive Tackle,,,[52],2018.0,,,,,,,,13,,- 6th Pro Bowl selection,Dallas Cowboys,,
53,Mike Evans,Wide receiver,,,[53],2018.0,,,,,,,,NR,,"- 2nd Pro Bowl selection
   - 3rd receiver in NFL history to begin their career with five 
   consecutive 1,000+ yard seasons
   - Youngest player to reach 6,000 career receiving yards
   - Youngest player to have 5 seasons of 1,000 receiving yards",Tampa Bay Buccaneers,,
54,Calais Campbell,Defensive end,,,[54],2018.0,,,,,,,,40,,"- 4th Pro Bowl selection
   - Bart Starr Award",Jacksonville Jaguars,,
55,Xavien Howard,Cornerback,,,[55],2018.0,,,,,,,,NR,,"- 1st Pro Bowl selection
   - 1st Second-team All-Pro selection
   - NFL interceptions co-leader (7, with Kyle Fuller, Damontae Kazee)",Miami Dolphins,,
56,Joey Bosa,Defensive end,,,[56],2018.0,,,,,,,,19,,,Los Angeles Chargers,,
57,Danielle Hunter,Defensive end,,,[57],2018.0,,,,,,,,NR,,"- 1st Pro Bowl selection
   - 1st Second-team All-Pro selection",Minnesota Vikings,,
58,A. J. Green,Wide receiver,,,[58],2018.0,,,,,,,,36,,,Cincinnati Bengals,,
59,Zack Martin,Guard,,,[59],2018.0,,,,,,,,12,,"- 5th Pro Bowl selection
   - 3rd First-team All-Pro selection",Dallas Cowboys,,
60,Larry Fitzgerald,Wide receiver,,,[60],2018.0,,,,,,,,33,,,Arizona Cardinals,,
61,Jaylon Smith,Linebacker,,,[61],2018.0,,,,,,,,NR,,- PFF's Breakout Player of the Year,Dallas Cowboys,,
62,James Conner,Running back,,,[62],2018.0,,,,,,,,NR,,- 1st Pro Bowl selection,Pittsburgh Steelers,,
63,Jadeveon Clowney,Outside linebacker,,,[63],2018.0,,,,,,,,31,,- 3rd Pro Bowl selection,Houston Texans,Seattle Seahawks,
64,Amari Cooper,Wide receiver,,,[64],2018.0,,,,,,,,NR,,- 3rd Pro Bowl selection,Oakland Raiders/Dallas Cowboys,Dallas Cowboys,
